tag,kat
10,Cocktail
11,Getränk
12,Longdrink
18,Gemüse
19,Vorspeise
20,kalt
26,Krustentier oder Muscheln
27,Sommer
28,Italien
29,Europa
32,Vegetarisch
38,USA oder Kanada
39,Halloween
43,Spanien
45,Party
48,raffiniert oder preiswert
49,Schnell
50,einfach
53,Frühstück
55,kalorienarm
56,fettarm
57,Vegan
60,Schweiz
64,Winter
65,Deutschland
72,Österreich
74,Mexiko
78,Frühling
84,Frankreich
86,Osteuropa
87,Silvester
90,Dessert
91,Kinder
95,Karibik und Exotik
99,Herbst
102,Weihnachten
104,Creme
106,Festlich
109,Frucht
110,Resteverwertung
112,Trennkost
113,Shake
114,Latein Amerika
115,Amerika
120,Ostern
121,Bowle
125,Polen
126,alkoholfrei
127,Eis
128,Flambieren
142,Punsch
144,gekocht
146,Geheimrezept
149,Portugal
150,Haltbarmachen
151,Likör
156,Kaffee Tee oder Kakao
158,Finnland
211,Studentenküche
1136,Molekularküche
5999,lateinamerika
6082,Ernährungskonzepte
9947,ketogen
9948,Low Carb
